Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.41632446821541,0.654655602860373,-0.252085325827849,0.241099789148677,-17.4059314651747,8.0198770096479,15.9453206225473,1.81419817804516,3.3669492581395,2.70000021764021
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,20311.4094163764,20870.7596432179,21378.2201267496,21929.435611489,19180.9915228365,21084.4013935998,24393.2193483944,25583.8722302505,26897.2002039176,28364.8181499736
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,76.332,..
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.247,8.62,8.321,8.41,..,11.015,7.261,6.54,6.03,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,78591839299.7087,93397215864.198
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.5264464460425,2.53218349471909,3.14919758275296,1.44645548204305,-0.672742918585868,2.43886210234947,-4.65839591328999,4.12654007153881,4.34999638140579,1.29999999999998
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8605.60954569694,10279.2547190723
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.1385609756098,72.0714634146342,74.1033658536585,74.1837804878049,74.3653414634147,..
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.844,5.648,4.763,4.165,4.049,3.9,3.574,3.461,3.039,..
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598522422241.851,591474463578.602,650779364363.737,670983130618.828,725466462859.646
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.19350273007754,1.47446761556785,1.87796847383565,2.4428900448156,-4.7929839083518,6.25445686466593,4.02460852835887,1.56125539542029,1.09775383828703,0.983117967125935
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50639.0264882739,55244.68145811,56581.9375642531,60750.2735864647
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439,81.7487804878049,82.4,82.3,..
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.547,5.708,6.2
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2239604950,2266028250,2285915050,2381187850,2047284600,2428606250,2846604350,3052362650,3203631800,3326500000
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.0187414958130319,-1.83323729057784,0.822068592512508,4.25658710030072,-13.5228997055506,17.9899244143607,9.25051329530994,0.500127941638667,3.50466435023895,2.74831731763744
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6140.86713919469,6071.85451846453,6011.99036888587,6171.61449761423,5238.54078175696,6142.98930557031,7068.21728043145,7424.75821321022,7681.24400583113,7865.47937690933
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,73.739,..
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7,6.596,9.346,9.053,..,..,..,..,..,..
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741883.934,17687623530.3355,17425405090.862,19673291004.1444,21482643706.4249,24566420903.5337
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25294705373625,6.3527773854442,7.45311566226201,8.07408453688336
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1010.5338961993,1054.97408066814,1151.7409703472,1130.82135339795,1200.19426557789,1318.65158075198,1266.42711031904,1394.17784721831,1485.38018885134,1658.27312662991
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,60.961,..
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,1.214,..,..,1.685,..,..,..
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7767884000,8602360000,9194499000,..
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.657206304259205,3.61141983706115,-0.432801300339307,0.307106461240664,-6.97162571479863,4.76497899668355,6.25695521240877,4.33447280353832,1.88822861970388,..
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,108747.356144305,112339.425587467,113204.82210838,115798.040775578,106976.546239632,112765.08167306,119969.173269085,132961.760796315,142250.433195123,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,82.49,..
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3012896789.79753,3346603858.7495,3579320145.13077
